file_path	artifact_type	classification	validity_for_closure	owner_field	decision_field	ca_method_markers	parity_scope	source_notes
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/phase0_baseline.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/post_checks.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/samples_summary.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/single_body.txt	txt	UNKNOWN	NO					
evidence/_quarantine/tmp_run_20260224T090059Z-20260225T061428Z/single_evidence_bundle.txt	txt	UNKNOWN	NO					
evidence/_quarantine/upload-20260228T143340Z/upload/WP-008_evidence_upload.txt	txt	INDIRECT_ONLY	NO					
evidence/bundle_audit.json	json	INDIRECT_ONLY	NO					
evidence/checks_manifest.json	json	UNKNOWN	NO					
evidence/evidence_index.md	md	UNKNOWN	NO					
evidence/install/20260222T161724Z/rc.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/config.found.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/env.fingerprint.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/env.gh_token.flag.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/env.opencode_port.flag.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/ohmy.found.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/ohmy.preview.oh-my-opencode.json.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.help.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.in_path.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.run.help.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.run.smoketest.rc.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.run.smoketest.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.serve.help.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/opencode.version.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/quick_rules.txt	txt	UNKNOWN	NO					
evidence/opencode_diag/20260214T120658Z/scan.opencode.json.txt	txt	UNKNOWN	NO					
evidence/preflight/20260222T161724Z/preflight.json	json	UNKNOWN	NO					
evidence/single_evidence_bundle.txt	txt	INDIRECT_ONLY	NO					
evidence/skills_pack_validation/20260222T161724Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/required_canonical.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260222T161724Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T105147Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T120445Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T122328Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T123939Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135015Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/contract_snapshot.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/rc.txt	txt	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/report.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/report.md	md	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/required_files_diff.json	json	UNKNOWN	NO					
evidence/skills_pack_validation/20260302T135409Z/secrets_hits.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/pwd.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/runlogs/gitlog.AGENTSmd.head.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/runlogs/gitlog.agentmd.head.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/runlogs/ohmy.json.size.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/runlogs/repo.agent_ohmy.find.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/snapshots/agent.md.head.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/snapshots/oh-my-opencode.json.head.txt	txt	UNKNOWN	NO					
evidence/step-opencode-fix/utc.now.txt	txt	UNKNOWN	NO					
evidence/step-opencode-repair/20260214T123304Z/runlogs/backup.opencode_json.txt	txt	UNKNOWN	NO					
evidence/step-opencode-repair/20260214T123304Z/runlogs/fix.opencode_json.rc.txt	txt	UNKNOWN	NO					
evidence/step-opencode-repair/20260214T123304Z/runlogs/gh_token.flag.txt	txt	UNKNOWN	NO					
